ID,Player,Name,T,W,Avg,Ovr,R,BBF,EC,SR,3w,5w,Mdns
0,https://scores.iplt20.com/ipl/playerimages/Harshal Patel.png,Harshal Patel,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,24,19,49,477,3/15,9,12,4,0,0
1,https://scores.iplt20.com/ipl/playerimages/Varun Chakaravarthy.png,Varun Chakaravarthy,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,21,19,50,402,3/16,8,14,3,0,0
2,https://scores.iplt20.com/ipl/playerimages/Jasprit Bumrah.png,Jasprit Bumrah,https://scores.iplt20.com/ipl/teamlogos/MI.png?,20,16,51,336,5/21,6,15,3,1,0
3,https://scores.iplt20.com/ipl/playerimages/T Natarajan.png,T Natarajan,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,19,24,51,465,4/19,9,16,2,0,1
4,https://scores.iplt20.com/ipl/playerimages/Harshit Rana.png,Harshit Rana,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,19,20,42,383,3/24,9,13,2,0,1
5,https://scores.iplt20.com/ipl/playerimages/Avesh Khan.png,Avesh Khan,https://scores.iplt20.com/ipl/teamlogos/RR.png?,19,27,54,526,3/27,9,17,2,0,0
6,https://scores.iplt20.com/ipl/playerimages/Arshdeep Singh.png,Arshdeep Singh,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,19,26,50,505,4/29,10,15,1,0,0
7,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png,Andre Russell,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,19,15,29,295,3/19,10,9,2,0,0
8,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png,Pat Cummins,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,18,31,61,566,3/43,9,20,1,0,1
9,https://scores.iplt20.com/ipl/playerimages/Yuzvendra Chahal.png,Yuzvendra Chahal,https://scores.iplt20.com/ipl/teamlogos/RR.png?,18,30,58,546,3/11,9,19,1,0,0
10,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png,Sunil Narine,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,17,21,55,368,2/22,6,19,0,0,0
11,https://scores.iplt20.com/ipl/playerimages/Tushar Deshpande.png,Tushar Deshpande,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,17,24,48,424,4/27,8,16,2,0,0
12,https://scores.iplt20.com/ipl/playerimages/Khaleel Ahmed.png,Khaleel Ahmed,https://scores.iplt20.com/ipl/teamlogos/DC.png?,17,28,50,479,2/21,9,17,0,0,2
13,https://scores.iplt20.com/ipl/playerimages/Mukesh Kumar.png,Mukesh Kumar,https://scores.iplt20.com/ipl/teamlogos/DC.png?,17,21,35,368,3/14,10,12,3,0,0
14,https://scores.iplt20.com/ipl/playerimages/Mitchell Starc.png,Mitchell Starc,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,17,26,41,444,4/33,10,14,3,0,0
15,https://scores.iplt20.com/ipl/playerimages/Trent Boult.png,Trent Boult,https://scores.iplt20.com/ipl/teamlogos/RR.png?,16,27,53,443,3/22,8,20,2,0,0
16,https://scores.iplt20.com/ipl/playerimages/Kuldeep Yadav.png,Kuldeep Yadav,https://scores.iplt20.com/ipl/teamlogos/DC.png?,16,23,43,372,4/55,8,16,2,0,0
17,https://scores.iplt20.com/ipl/playerimages/Sam Curran.png,Sam Curran,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,16,26,41,416,3/28,10,15,1,0,0
18,https://scores.iplt20.com/ipl/playerimages/Yash Dayal.png,Yash Dayal,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,15,30,50,459,3/20,9,20,1,0,0
19,https://scores.iplt20.com/ipl/playerimages/Mohammed Siraj.png,Mohammed Siraj,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,15,33,54,496,3/43,9,21,1,0,0
20,https://scores.iplt20.com/ipl/playerimages/Mustafizur Rahman.png,Mustafizur Rahman,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,14,22,34,318,4/29,9,14,1,0,1
21,https://scores.iplt20.com/ipl/playerimages/Naveen-ul-Haq.png,Naveen-ul-Haq,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,14,26,36,372,3/49,10,15,1,0,0
22,https://scores.iplt20.com/ipl/playerimages/Matheesha Pathirana.png,Matheesha Pathirana,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,13,13,22,169,4/28,7,10,2,0,0
23,https://scores.iplt20.com/ipl/playerimages/Sandeep Sharma.png,Sandeep Sharma,https://scores.iplt20.com/ipl/teamlogos/RR.png?,13,23,38,311,5/18,8,17,0,1,0
24,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png,Piyush Chawla,https://scores.iplt20.com/ipl/teamlogos/MI.png?,13,24,35,312,3/29,8,16,2,0,0
25,https://scores.iplt20.com/ipl/playerimages/Gerald Coetzee.png,Gerald Coetzee,https://scores.iplt20.com/ipl/teamlogos/MI.png?,13,26,33,341,4/34,10,15,2,0,0
