,ID,Name,Runs_scored,Bat_Strike,Mat,Inn,NO,HS,Bat_Avg,30s,50s,100s,6s,Wickets_Taken,Ball_Avg,Ovr,Runs_conceeded,BBF,EC,Ball_Strike,3w,5w,Mdns,Team,Player,role,batting_style,bowling_style
0,0.0,Abdul Samad,182.0,168.0,16.0,12.0,2.0,37*,18,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,https://scores.iplt20.com/ipl/playerimages/Abdul Samad.png,Batter,Right hand Bat,Legbreak
1,1.0,Abhinav Manohar,9.0,56.0,2.0,2.0,0.0,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/GT.png?,https://scores.iplt20.com/ipl/playerimages/Abhinav Manohar.png,Batting Allrounder,Right hand Bat,Legbreak Googly
2,2.0,Abhishek Sharma,484.0,204.0,16.0,16.0,1.0,75*,32,5.0,3.0,0.0,42.0,2.0,25.0,7.0,51.0,2/24,7.0,21.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,https://scores.iplt20.com/ipl/playerimages/Abhishek Sharma.png,Allrounder,Left hand Bat,Slow Left arm Orthodox
3,3.0,Abishek Porel,327.0,159.0,14.0,12.0,2.0,65,32,4.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/DC.png?,https://scores.iplt20.com/ipl/playerimages/Abishek Porel.png,Wicketkeeper Batter,Left hand Bat,DNB
4,4.0,Aiden Markram,220.0,124.0,11.0,11.0,2.0,50,24,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,https://scores.iplt20.com/ipl/playerimages/Aiden Markram.png,Opening Batter,Right hand Bat,Right arm Offbreak
5,5.0,Ajinkya Rahane,242.0,123.0,13.0,12.0,0.0,45,20,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,https://scores.iplt20.com/ipl/playerimages/Ajinkya Rahane.png,Top order Batter,Right hand Bat,Right arm Medium
6,6.0,Akash Deep,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,55.0,3.0,55.0,1/55,15.0,21.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,https://scores.iplt20.com/ipl/playerimages/Akash Deep.png,Bowling Allrounder,Right hand Bat,Right arm Fast medium
7,7.0,Akash Madhwal,4.0,80.0,5.0,1.0,1.0,4*,-,0.0,0.0,0.0,0.0,5.0,41.0,18.0,205.0,3/20,11.0,21.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/MI.png?,https://scores.iplt20.com/ipl/playerimages/Akash Madhwal.png,Bowler,Right hand Bat,Right arm Medium fast
8,8.0,Alzarri Joseph,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,115.0,9.0,115.0,1/43,11.0,58.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,https://scores.iplt20.com/ipl/playerimages/Alzarri Joseph.png,Bowler,Right hand Bat,Right arm Fast
9,9.0,Amit Mishra,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,20.0,1/20,10.0,12.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png,Bowler,Right hand Bat,Legbreak
10,10.0,Andre Russell,222.0,185.0,15.0,9.0,2.0,64*,31,1.0,1.0,0.0,16.0,19.0,15.0,29.0,295.0,3/19,10.0,9.0,2.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png,Allrounder,Right hand Bat,Right arm Fast
11,11.0,Angkrish Raghuvanshi,163.0,155.0,10.0,7.0,0.0,54,23,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,https://scores.iplt20.com/ipl/playerimages/Angkrish Raghuvanshi.png,,,
12,12.0,Anmolpreet Singh,5.0,83.0,2.0,2.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,https://scores.iplt20.com/ipl/playerimages/Anmolpreet Singh.png,Batter,Right hand Bat,Right arm Offbreak
13,13.0,Anrich Nortje,4.0,50.0,6.0,2.0,0.0,4,2,0.0,0.0,0.0,0.0,7.0,42.0,22.0,294.0,3/59,13.0,18.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/DC.png?,https://scores.iplt20.com/ipl/playerimages/Anrich Nortje.png,Bowler,Right hand Bat,Right arm Fast
14,14.0,Anshul Kamboj,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.0,57.0,10.0,114.0,1/24,11.0,30.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/MI.png?,https://scores.iplt20.com/ipl/playerimages/Anshul Kamboj.png,,,
15,15.0,Anuj Rawat,98.0,127.0,5.0,5.0,1.0,48,24,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,https://scores.iplt20.com/ipl/playerimages/Anuj Rawat.png,Wicketkeeper Batter,Left hand Bat,DNB
16,16.0,Anukul Roy,3.0,100.0,4.0,1.0,1.0,3*,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,https://scores.iplt20.com/ipl/playerimages/Anukul Roy.png,Allrounder,Left hand Bat,Slow Left arm Orthodox
17,17.0,Arshad Khan,83.0,153.0,4.0,4.0,2.0,58*,41,0.0,1.0,0.0,5.0,1.0,114.0,10.0,114.0,1/45,11.0,61.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,https://scores.iplt20.com/ipl/playerimages/Arshad Khan.png,Bowler,Left hand Bat,Left arm Medium
18,18.0,Arshdeep Singh,4.0,133.0,14.0,1.0,0.0,4,4,0.0,0.0,0.0,0.0,19.0,26.0,50.0,505.0,4/29,10.0,15.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,https://scores.iplt20.com/ipl/playerimages/Arshdeep Singh.png,Bowler,Left hand Bat,Left arm Medium fast
19,19.0,Arshin Kulkarni,9.0,112.0,2.0,2.0,0.0,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,https://scores.iplt20.com/ipl/playerimages/Arshin Kulkarni.png,,,
20,20.0,Ashton Turner,21.0,116.0,2.0,2.0,0.0,16,10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,https://scores.iplt20.com/ipl/playerimages/Ashton Turner.png,,,
21,21.0,Ashutosh Sharma,189.0,167.0,11.0,9.0,2.0,61,27,3.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,https://scores.iplt20.com/ipl/playerimages/Ashutosh Sharma.png,,,
22,22.0,Atharva Taide,61.0,156.0,2.0,2.0,0.0,46,30,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,https://scores.iplt20.com/ipl/playerimages/Atharva Taide.png,Batting Allrounder,Left hand Bat,Slow Left arm Orthodox
