,ID,Match No,Name,Team1,Team1 Logo,Team2,Team2 Logo,Score1,Score2,Summary,Stadium,City,Team1_Captain,Team2_Captain
0,4,Match 5,Gujarat Titans vs Mumbai Indians,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,168/6 (20 overs),162/9 (20 overs),Gujarat Titans won by 6 runs,Narendra Modi Stadium,Ahmedabad,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png
1,11,Match 12,Sunrisers Hyderabad vs Gujarat Titans,Sunrisers Hyderabad,https://scores.iplt20.com/ipl/teamlogos/SRH.png,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png,162/8 (20 overs),168/3 (19.1 overs),Gujarat Titans won by 7 wickets,Narendra Modi Stadium,Ahmedabad,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png
2,16,Match 17,Gujarat Titans vs Punjab Kings,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,199/4 (20 overs),200/7 (19.5 overs),Punjab Kings won by 3 wickets,Narendra Modi Stadium,Ahmedabad,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png
3,31,Match 32,Gujarat Titans vs Delhi Capitals,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,89 (17.3 overs),92/4 (8.5 overs),Delhi Capitals won by 6 wickets,Narendra Modi Stadium,Ahmedabad,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png
4,44,Match 45,Gujarat Titans vs Royal Challengers Bengaluru,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/RCB.png,200/3 (20 overs),206/1 (16 overs),Royal Challengers Bengaluru won by 9 wickets,Narendra Modi Stadium,Ahmedabad,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png
5,58,Match 59,Gujarat Titans vs Chennai Super Kings,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,231/3 (20 overs),196/8 (20 overs),Gujarat Titans won by 35 runs,Narendra Modi Stadium,Ahmedabad,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png
6,62,Match 63,Gujarat Titans vs Kolkata Knight Riders,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,0/0 (0 overs),0/0 (0 overs),Match abandoned,Narendra Modi Stadium,Ahmedabad,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png
7,70,Qualifier 1,Sunrisers Hyderabad vs Kolkata Knight Riders,Sunrisers Hyderabad,https://scores.iplt20.com/ipl/teamlogos/SRH.png,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,159 (19.3 overs),164/2 (13.4 overs),Kolkata Knight Riders won by 8 wickets,Narendra Modi Stadium,Ahmedabad,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png
8,71,Eliminator,Royal Challengers Bengaluru vs Rajasthan Royals,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/RCB.png,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/RR.png,172/8 (20 overs),174/6 (19 overs),Rajasthan Royals won by 4 wickets,Narendra Modi Stadium,Ahmedabad,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png
9,5,Match 6,Punjab Kings vs Royal Challengers Bengaluru,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/RCB.png,176/6 (20 overs),178/6 (19.2 overs),Royal Challengers Bengaluru won by 4 wickets,M. Chinnaswamy Stadium,Bengaluru,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png
