ID,Pos,Logo,Teams,Matches,Won,Lost,Tied,NR,Points,NRR
0,1,https://scores.iplt20.com/ipl/teamlogos/KKR.png,KOLKATA KNIGHT RIDERS,14,9,3,0,2,20,+1.428
1,2,https://scores.iplt20.com/ipl/teamlogos/SRH.png,SUNRISERS HYDERABAD,14,8,5,0,1,17,+0.414
2,3,https://scores.iplt20.com/ipl/teamlogos/RR.png,RAJASTHAN ROYALS,14,8,5,0,1,17,+0.273
3,4,https://scores.iplt20.com/ipl/teamlogos/RCB.png,ROYAL CHALLENGERS BENGALURU,14,7,7,0,0,14,+0.459
4,5,https://scores.iplt20.com/ipl/teamlogos/CSK.png,CHENNAI SUPER KINGS,14,7,7,0,0,14,+0.392
5,6,https://scores.iplt20.com/ipl/teamlogos/DC.png,DELHI CAPITALS,14,7,7,0,0,14,-0.377
6,7,https://scores.iplt20.com/ipl/teamlogos/LSG.png,LUCKNOW SUPER GIANTS,14,7,7,0,0,14,-0.667
7,8,https://scores.iplt20.com/ipl/teamlogos/GT.png,GUJARAT TITANS,14,5,7,0,2,12,-1.063
8,9,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,PUNJAB KINGS,14,5,9,0,0,10,-0.353
9,10,https://scores.iplt20.com/ipl/teamlogos/MI.png,MUMBAI INDIANS,14,4,10,0,0,8,-0.318
